"[[24  3]
 [ 0 21]]",0
"[[26  0]
 [ 0 22]]",1
"[[ 7 18]
 [ 0 23]]",2
"[[24  0]
 [ 5 19]]",3
"[[22  0]
 [ 3 23]]",4
"[[27  0]
 [ 4 17]]",5
"[[24  1]
 [ 1 22]]",6
"[[21  1]
 [ 0 26]]",7
"[[25  0]
 [ 2 21]]",8
"[[25  0]
 [ 5 18]]",9
0.820773040131473
